pat1,pat2,features (n),similarity
SRI-26391657,SRI-83452944,40,0.026603860912659573
SRI-26391657,SRI-83452944,50,0.032544804572923504
SRI-26391657,SRI-83452944,60,0.03286983727609221
SRI-26391657,SRI-83452944,80,0.038211790864675285
SRI-26391657,SRI-83452944,100,0.04547284730235087
SRI-26391657,SRI-83452944,110,0.04979811785811859
SRI-26391657,SRI-21251048,5,0.025166239696314985
SRI-26391657,SRI-21251048,10,0.023351713338305144
SRI-26391657,SRI-21251048,15,0.024779252144888502
SRI-26391657,SRI-21251048,20,0.025913778030264
SRI-26391657,SRI-21251048,25,0.026582503979698174
SRI-26391657,SRI-21251048,30,0.025711490329827644
SRI-26391657,SRI-21251048,40,0.02691813815778611
SRI-26391657,SRI-21251048,50,0.031195226895940963
SRI-26391657,SRI-21251048,60,0.036558375850196376
SRI-26391657,SRI-21251048,80,0.04043288760408425
SRI-26391657,SRI-21251048,100,0.05052497488135752
SRI-26391657,SRI-21251048,110,0.05428527998562208
SRI-26391657,SRI-36274494,5,0.015232720443788395
SRI-26391657,SRI-36274494,10,0.013399039455415884
SRI-26391657,SRI-36274494,15,0.01391275459213253
SRI-26391657,SRI-36274494,20,0.014592329794287501
SRI-26391657,SRI-36274494,25,0.01522665887604234
SRI-26391657,SRI-36274494,30,0.014676513969104407
SRI-26391657,SRI-36274494,40,0.01925134446815068
SRI-26391657,SRI-36274494,50,0.023790239294430148
SRI-26391657,SRI-36274494,60,0.02633139521554796
SRI-26391657,SRI-36274494,80,0.028162743578918247
SRI-26391657,SRI-36274494,100,0.030637751381754924
SRI-26391657,SRI-36274494,110,0.03214208367023663
SRI-26391657,SRI-80254102,5,0.024077547158855815
SRI-26391657,SRI-80254102,10,0.026473880282888208
SRI-26391657,SRI-80254102,15,0.024690656303366608
SRI-26391657,SRI-80254102,20,0.02619167975766386
SRI-26391657,SRI-80254102,25,0.027444369128538676
SRI-26391657,SRI-80254102,30,0.02630560801622819
SRI-26391657,SRI-80254102,40,0.02888754176102302
SRI-26391657,SRI-80254102,50,0.031373151928291085
SRI-26391657,SRI-80254102,60,0.03190620109234361
SRI-26391657,SRI-80254102,80,0.03375109536926173
SRI-26391657,SRI-80254102,100,0.03628749454132549
SRI-26391657,SRI-80254102,110,0.040500086740884254
SRI-26391657,SRI-81490281,5,0.02154224271440554
SRI-26391657,SRI-81490281,10,0.023714299383189932
SRI-26391657,SRI-81490281,15,0.028544048968425623
SRI-26391657,SRI-81490281,20,0.028710061488683148
SRI-26391657,SRI-81490281,25,0.028502569130639536
SRI-26391657,SRI-81490281,30,0.028954266288677567
SRI-26391657,SRI-81490281,40,0.03253555748222005
SRI-26391657,SRI-81490281,50,0.03588949568098843
SRI-26391657,SRI-81490281,60,0.04093981980131897
SRI-26391657,SRI-81490281,80,0.05016251554432647
SRI-26391657,SRI-81490281,100,0.06267144105167982
SRI-26391657,SRI-81490281,110,0.06623151341209906
