pat1,pat2,features (n),distance,,,,,
P56,P39,40,0.014121704,,,,,
P56,P39,50,0.016561758,,,,,
P56,P39,60,0.022299251,,,,,
P56,P39,80,0.026358576,,,,,
P56,P39,100,0.037129225,,,,,
P56,P39,110,0.042764219,,,,,
P56,P58,5,0.013569993,,,,,
P56,P58,10,0.014602148,,,,,
P56,P58,15,0.013708203,,,,,
P56,P58,20,0.01381929,,,,,
P56,P58,25,0.015758434,,,,,
P56,P58,30,0.01588541,,,,,
P56,P58,40,0.019108213,,,,,
P56,P58,50,0.022089711,,,,,
P56,P58,60,0.026307492,,,,,
P56,P58,80,0.031574158,,,,,
P56,P58,100,0.039720985,,,,,
P56,P58,110,0.046247389,,,,,
P56,P59,5,0.022321384,,,,,
P56,P59,10,0.027165729,,,,,
P56,P59,15,0.028639638,,,,,
P56,P59,20,0.026630917,,,,,
P56,P59,25,0.029675307,,,,,
P56,P59,30,0.029331475,,,,,
P56,P59,40,0.031901631,,,,,
P56,P59,50,0.033270261,,,,,
P56,P59,60,0.036318198,,,,,
P56,P59,80,0.041566544,,,,,
P56,P59,100,0.050176815,,,,,
P56,P59,110,0.054784741,,,,,
P56,P62,5,0.0092718,,,,,
P56,P62,10,0.015653056,,,,,
P56,P62,15,0.018308831,,,,,
P56,P62,20,0.021623088,,,,,
P56,P62,25,0.020388073,,,,,
P56,P62,30,0.019796133,,,,,
P56,P62,40,0.024471163,,,,,
P56,P62,50,0.029759145,,,,,
P56,P62,60,0.034702666,,,,,
P56,P62,80,0.044553066,,,,,
P56,P62,100,0.051690619,,,,,
P56,P62,110,0.055852606,,,,,
P56,P67,5,0.016298345,,,,,
P56,P67,10,0.015088128,,,,,
P56,P67,15,0.019419214,,,,,
P56,P67,20,0.020770353,,,,,
P56,P67,25,0.022709655,,,,,
P56,P67,30,0.023126849,,,,,
P56,P67,40,0.025717644,,,,,
P56,P67,50,0.033747615,,,,,
P56,P67,60,0.040794572,,,,,
P56,P67,80,0.042816958,,,,,
P56,P67,100,0.057044814,,,,,
P56,P67,110,0.06328942,,,,,
P56,P68,5,0.024506273,,,,,
P56,P68,10,0.023969819,,,,,
P56,P68,15,0.021887445,,,,,
P56,P68,20,0.020783241,,,,,
P56,P68,25,0.023542219,,,,,
P56,P68,30,0.02640055,,,,,
P56,P68,40,0.032134378,,,,,
P56,P68,50,0.032241538,,,,,
P56,P68,60,0.041083059,,,,,
P56,P68,80,0.051933099,,,,,
P56,P68,100,0.064183487,,,,,
P56,P68,110,0.072775231,,,,,
P56,P71,5,0.014500319,,,,,
P56,P71,10,0.01605777,,,,,
P56,P71,15,0.018125418,,,,,
P56,P71,20,0.01912141,,,,,
P56,P71,25,0.019622049,,,,,
P56,P71,30,0.020897906,,,,,
P56,P71,40,0.022608456,,,,,
P56,P71,50,0.025131927,,,,,
P56,P71,60,0.028108262,,,,,
P56,P71,80,0.032345808,,,,,
P56,P71,100,0.04353086,,,,,
P56,P71,110,0.049760862,,,,,
P56,P82,5,0.017767453,,,,,
P56,P82,10,0.018905511,,,,,
P56,P82,15,0.019532785,,,,,
P56,P82,20,0.018805904,,,,,
P56,P82,25,0.020667018,,,,,
P56,P82,30,0.020736365,,,,,
P56,P82,40,0.023974532,,,,,
P56,P82,50,0.027406799,,,,,
P56,P82,60,0.033831336,,,,,
P56,P82,80,0.042935591,,,,,
P56,P82,100,0.055799892,,,,,
P56,P82,110,0.066947185,,,,,
P56,P88,5,0.017739195,,,,,
P56,P88,10,0.021744595,,,,,
P56,P88,15,0.021674808,,,,,
P56,P88,20,0.020069587,,,,,
P56,P88,25,0.02213302,,,,,
P56,P88,30,0.02078295,,,,,
P56,P88,40,0.023041273,,,,,
P56,P88,50,0.026064284,,,,,
P56,P88,60,0.030960251,,,,,
P56,P88,80,0.032608813,,,,,
P56,P88,100,0.036024222,,,,,
P56,P88,110,0.041972144,,,,,
P56,P92,5,0.017186792,,,,,
P56,P92,10,0.022380784,,,,,
P56,P92,15,0.023339866,,,,,
P56,P92,20,0.023386077,,,,,
P56,P92,25,0.024898773,,,,,
P56,P92,30,0.023534274,,,,,
P56,P92,40,0.025589437,,,,,
P56,P92,50,0.026161401,,,,,
P56,P92,60,0.028985398,,,,,
P56,P92,80,0.035944802,,,,,
P56,P92,100,0.047226101,,,,,
P56,P92,110,0.055041112,,,,,
P61,P1,5,0.032146001,,,,,
P61,P1,10,0.042492654,,,,,
P61,P1,15,0.042608025,,,,,
P61,P1,20,0.046045596,,,,,
P61,P1,25,0.049366802,,,,,
P61,P1,30,0.055031864,,,,,
P61,P1,40,0.062316318,,,,,
P61,P1,50,0.067362936,,,,,
P61,P1,60,0.071169132,,,,,
P61,P1,80,0.074826449,,,,,
P61,P1,100,0.076049846,,,,,
P61,P1,110,0.087809946,,,,,
P61,P19,5,0.017566544,,,,,
P61,P19,10,0.017356876,,,,,
P61,P19,15,0.018892382,,,,,
P61,P19,20,0.019423981,,,,,
P61,P19,25,0.019424244,,,,,
P61,P19,30,0.019767207,,,,,
P61,P19,40,0.023405995,,,,,
P61,P19,50,0.027188805,,,,,
P61,P19,60,0.030779457,,,,,
P61,P19,80,0.033486638,,,,,
P61,P19,100,0.037998486,,,,,
P61,P19,110,0.041003274,,,,,
P61,P24,5,0.025175285,,,,,
P61,P24,10,0.023196744,,,,,
P61,P24,15,0.023870614,,,,,
P61,P24,20,0.023842314,,,,,
P61,P24,25,0.024812586,,,,,
P61,P24,30,0.028020385,,,,,
P61,P24,40,0.034642453,,,,,
P61,P24,50,0.039577902,,,,,
P61,P24,60,0.043579285,,,,,
P61,P24,80,0.04449099,,,,,
P61,P24,100,0.048077881,,,,,
P61,P24,110,0.050557665,,,,,
P61,P26,5,0.016393617,,,,,
P61,P26,10,0.019622322,,,,,
P61,P26,15,0.023892812,,,,,
P61,P26,20,0.025015847,,,,,
P61,P26,25,0.025560443,,,,,
P61,P26,30,0.027340523,,,,,
P61,P26,40,0.031487566,,,,,
P61,P26,50,0.038763449,,,,,
P61,P26,60,0.044618338,,,,,
P61,P26,80,0.051846334,,,,,
P61,P26,100,0.057905371,,,,,
P61,P26,110,0.058708878,,,,,
P61,P51,5,0.016777281,,,,,
P61,P51,10,0.024304342,,,,,
P61,P51,15,0.027934857,,,,,
P61,P51,20,0.029663935,,,,,
P61,P51,25,0.030995707,,,,,
P61,P51,30,0.032536127,,,,,
P61,P51,40,0.036477548,,,,,
P61,P51,50,0.0388765,,,,,
P61,P51,60,0.042301806,,,,,
P61,P51,80,0.049606074,,,,,
P61,P51,100,0.058607545,,,,,
P61,P51,110,0.063761336,,,,,
P61,P56,5,0.021655627,,,,,
P61,P56,10,0.021999602,,,,,
P61,P56,15,0.025872207,,,,,
P61,P56,20,0.024171782,,,,,
P61,P56,25,0.02570023,,,,,
P61,P56,30,0.026569445,,,,,
P61,P56,40,0.030909769,,,,,
P61,P56,50,0.035698836,,,,,
P61,P56,60,0.038689175,,,,,
P61,P56,80,0.042181732,,,,,
P61,P56,100,0.048435633,,,,,
P61,P56,110,0.054504725,,,,,
P61,P61,5,0,,,,,
P61,P61,10,0,,,,,
P61,P61,15,0,,,,,
P61,P61,20,0,,,,,
P61,P61,25,0,,,,,
P61,P61,30,0,,,,,
P61,P61,40,0,,,,,
P61,P61,50,0,,,,,
P61,P61,60,0,,,,,
P61,P61,80,0,,,,,
P61,P61,100,0,,,,,
P61,P61,110,0,,,,,
P61,P66,5,0.021954646,,,,,
P61,P66,10,0.017181982,,,,,
P61,P66,15,0.018786942,,,,,
P61,P66,20,0.021283042,,,,,
P61,P66,25,0.021468587,,,,,
P61,P66,30,0.022348766,,,,,
P61,P66,40,0.028573615,,,,,
P61,P66,50,0.033015416,,,,,
P61,P66,60,0.035135903,,,,,
P61,P66,80,0.044576665,,,,,
P61,P66,100,0.049619777,,,,,
P61,P66,110,0.054943222,,,,,
P61,P76,5,0.015754123,,,,,
P61,P76,10,0.019859183,,,,,
P61,P76,15,0.026540074,,,,,
P61,P76,20,0.026780326,,,,,
P61,P76,25,0.02881671,,,,,
P61,P76,30,0.030522508,,,,,
P61,P76,40,0.034674235,,,,,
P61,P76,50,0.038856612,,,,,
P61,P76,60,0.04527955,,,,,
P61,P76,80,0.05205129,,,,,
P61,P76,100,0.052541648,,,,,
P61,P76,110,0.054619599,,,,,
P61,P95,5,0.015066265,,,,,
P61,P95,10,0.01516638,,,,,
P61,P95,15,0.017253237,,,,,
P61,P95,20,0.020404703,,,,,
P61,P95,25,0.021342756,,,,,
P61,P95,30,0.022918078,,,,,
P61,P95,40,0.024517636,,,,,
P61,P95,50,0.029068,,,,,
P61,P95,60,0.033331872,,,,,
P61,P95,80,0.036984399,,,,,
P61,P95,100,0.042212604,,,,,
P61,P95,110,0.044498515,,,,,
P61,P27,5,0.023527804,,,,,
P61,P27,10,0.027536121,,,,,
P61,P27,15,0.029099548,,,,,
P61,P27,20,0.029848373,,,,,
P61,P27,25,0.031603376,,,,,
P61,P27,30,0.032472561,,,,,
P61,P27,40,0.038602249,,,,,
P61,P27,50,0.04263637,,,,,
P61,P27,60,0.045467481,,,,,
P61,P27,80,0.048420453,,,,,
P61,P27,100,0.052032188,,,,,
P61,P27,110,0.054308663,,,,,
P61,P32,5,0.017552525,,,,,
P61,P32,10,0.019335395,,,,,
P61,P32,15,0.017496602,,,,,
P61,P32,20,0.020642747,,,,,
P61,P32,25,0.025008832,,,,,
P61,P32,30,0.028035969,,,,,
P61,P32,40,0.032865399,,,,,
P61,P32,50,0.039448429,,,,,
P61,P32,60,0.044337158,,,,,
P61,P32,80,0.044270263,,,,,
P61,P32,100,0.047107951,,,,,
P61,P32,110,0.051663745,,,,,
P61,P39,5,0.022630845,,,,,
P61,P39,10,0.022086649,,,,,
P61,P39,15,0.028049716,,,,,
P61,P39,20,0.027372066,,,,,
P61,P39,25,0.030114662,,,,,
P61,P39,30,0.031015878,,,,,
P61,P39,40,0.034897492,,,,,
P61,P39,50,0.040597735,,,,,
P61,P39,60,0.04546874,,,,,
P61,P39,80,0.048906232,,,,,
P61,P39,100,0.054858853,,,,,
P61,P39,110,0.054937232,,,,,
P61,P58,5,0.014478551,,,,,
P61,P58,10,0.013217028,,,,,
P61,P58,15,0.017403553,,,,,
P61,P58,20,0.019308219,,,,,
P61,P58,25,0.021502433,,,,,
P61,P58,30,0.021417022,,,,,
P61,P58,40,0.025799807,,,,,
P61,P58,50,0.031036828,,,,,
P61,P58,60,0.035551096,,,,,
P61,P58,80,0.040702759,,,,,
P61,P58,100,0.043192202,,,,,
P61,P58,110,0.046947759,,,,,
P61,P59,5,0.011013639,,,,,
P61,P59,10,0.014798078,,,,,
P61,P59,15,0.015127092,,,,,
P61,P59,20,0.016020664,,,,,
P61,P59,25,0.01908633,,,,,
P61,P59,30,0.019472466,,,,,
P61,P59,40,0.024967245,,,,,
P61,P59,50,0.029660772,,,,,
P61,P59,60,0.036161343,,,,,
P61,P59,80,0.042531718,,,,,
P61,P59,100,0.046796357,,,,,
P61,P59,110,0.051156532,,,,,
P61,P62,5,0.017080944,,,,,
P61,P62,10,0.025856257,,,,,
P61,P62,15,0.031612679,,,,,
P61,P62,20,0.03375978,,,,,
P61,P62,25,0.035167144,,,,,
P61,P62,30,0.036751652,,,,,
P61,P62,40,0.043195513,,,,,
P61,P62,50,0.046411161,,,,,
P61,P62,60,0.047182596,,,,,
P61,P62,80,0.055588703,,,,,
P61,P62,100,0.063807966,,,,,
P61,P62,110,0.065147199,,,,,
P61,P67,5,0.017299222,,,,,
P61,P67,10,0.017126327,,,,,
P61,P67,15,0.020537185,,,,,
P61,P67,20,0.021891808,,,,,
P61,P67,25,0.024773394,,,,,
P61,P67,30,0.025917385,,,,,
P61,P67,40,0.030608917,,,,,
P61,P67,50,0.034194746,,,,,
P61,P67,60,0.039377192,,,,,
P61,P67,80,0.041444887,,,,,
P61,P67,100,0.053842554,,,,,
P61,P67,110,0.057776891,,,,,
P61,P68,5,0.01327667,,,,,
P61,P68,10,0.016073222,,,,,
P61,P68,15,0.018912476,,,,,
P61,P68,20,0.020670622,,,,,
P61,P68,25,0.02212158,,,,,
P61,P68,30,0.024820922,,,,,
P61,P68,40,0.029341257,,,,,
P61,P68,50,0.033532982,,,,,
P61,P68,60,0.041441928,,,,,
P61,P68,80,0.052170122,,,,,
P61,P68,100,0.057578161,,,,,
P61,P68,110,0.057748791,,,,,
P61,P71,5,0.020945073,,,,,
P61,P71,10,0.018728778,,,,,
P61,P71,15,0.023141893,,,,,
P61,P71,20,0.024784624,,,,,
P61,P71,25,0.024594185,,,,,
P61,P71,30,0.025115075,,,,,
P61,P71,40,0.030022974,,,,,
P61,P71,50,0.033559499,,,,,
P61,P71,60,0.036751563,,,,,
P61,P71,80,0.041029521,,,,,
P61,P71,100,0.044985364,,,,,
P61,P71,110,0.048990964,,,,,
P61,P82,5,0.013853104,,,,,
P61,P82,10,0.016870911,,,,,
P61,P82,15,0.02289347,,,,,
P61,P82,20,0.02371161,,,,,
P61,P82,25,0.02813541,,,,,
P61,P82,30,0.031139607,,,,,
P61,P82,40,0.037247947,,,,,
P61,P82,50,0.04267094,,,,,
P61,P82,60,0.048547426,,,,,
P61,P82,80,0.060003056,,,,,
P61,P82,100,0.063703286,,,,,
P61,P82,110,0.068294623,,,,,
P61,P88,5,0.01599799,,,,,
P61,P88,10,0.014696158,,,,,
P61,P88,15,0.015126662,,,,,
P61,P88,20,0.017138349,,,,,
P61,P88,25,0.02084503,,,,,
P61,P88,30,0.022472404,,,,,
P61,P88,40,0.026320527,,,,,
P61,P88,50,0.031266357,,,,,
P61,P88,60,0.034007258,,,,,
P61,P88,80,0.038564945,,,,,
P61,P88,100,0.043573237,,,,,
P61,P88,110,0.048544006,,,,,
P61,P92,5,0.018297046,,,,,
P61,P92,10,0.021119805,,,,,
P61,P92,15,0.020789531,,,,,
P61,P92,20,0.021871353,,,,,
P61,P92,25,0.023060621,,,,,
P61,P92,30,0.0239004,,,,,
P61,P92,40,0.026555516,,,,,
P61,P92,50,0.030699843,,,,,
P61,P92,60,0.035281463,,,,,
P61,P92,80,0.044011867,,,,,
P61,P92,100,0.049424161,,,,,
P61,P92,110,0.051327119,,,,,
P66,P1,5,0.046685616,,,,,
P66,P1,10,0.051467756,,,,,
P66,P1,15,0.054175324,,,,,
P66,P1,20,0.05826284,,,,,
P66,P1,25,0.062025235,,,,,
P66,P1,30,0.06530677,,,,,
P66,P1,40,0.076913853,,,,,
P66,P1,50,0.082299051,,,,,
P66,P1,60,0.087083815,,,,,
P66,P1,80,0.096428568,,,,,
P66,P1,100,0.099431736,,,,,
P66,P1,110,0.11671277,,,,,
P66,P19,5,0.022750812,,,,,
P66,P19,10,0.022589007,,,,,
P66,P19,15,0.021265519,,,,,
P66,P19,20,0.025538898,,,,,
P66,P19,25,0.024438586,,,,,
P66,P19,30,0.02395137,,,,,
P66,P19,40,0.024803422,,,,,
P66,P19,50,0.030866897,,,,,
P66,P19,60,0.035898429,,,,,
P66,P19,80,0.047844193,,,,,
P66,P19,100,0.05283201,,,,,
P66,P19,110,0.058815042,,,,,
P66,P24,5,0.025682679,,,,,
P66,P24,10,0.021237697,,,,,
P66,P24,15,0.021999748,,,,,
P66,P24,20,0.02180207,,,,,
P66,P24,25,0.022548778,,,,,
P66,P24,30,0.02477133,,,,,
P66,P24,40,0.029200108,,,,,
P66,P24,50,0.034920298,,,,,
P66,P24,60,0.038991481,,,,,
P66,P24,80,0.045333995,,,,,
P66,P24,100,0.053122349,,,,,
P66,P24,110,0.06193823,,,,,
P66,P26,5,0.015761558,,,,,
P66,P26,10,0.017997798,,,,,
P66,P26,15,0.02283047,,,,,
P66,P26,20,0.025040404,,,,,
P66,P26,25,0.025653127,,,,,
P66,P26,30,0.027918163,,,,,
P66,P26,40,0.032325796,,,,,
P66,P26,50,0.038501436,,,,,
P66,P26,60,0.043938967,,,,,
P66,P26,80,0.056071794,,,,,
P66,P26,100,0.061717978,,,,,
P66,P26,110,0.068994843,,,,,
P66,P51,5,0.024435267,,,,,
P66,P51,10,0.031243305,,,,,
P66,P51,15,0.036597466,,,,,
P66,P51,20,0.035820267,,,,,
P66,P51,25,0.037023778,,,,,
P66,P51,30,0.036493907,,,,,
P66,P51,40,0.040036909,,,,,
P66,P51,50,0.042638971,,,,,
P66,P51,60,0.048112452,,,,,
P66,P51,80,0.065531285,,,,,
P66,P51,100,0.075004387,,,,,
P66,P51,110,0.083975514,,,,,
P66,P56,5,0.015962211,,,,,
P66,P56,10,0.017842962,,,,,
P66,P56,15,0.020902729,,,,,
P66,P56,20,0.021207184,,,,,
P66,P56,25,0.023097533,,,,,
P66,P56,30,0.025800107,,,,,
P66,P56,40,0.026173148,,,,,
P66,P56,50,0.029900732,,,,,
P66,P56,60,0.033628809,,,,,
P66,P56,80,0.045147978,,,,,
P66,P56,100,0.050770192,,,,,
P66,P56,110,0.058054601,,,,,
P66,P61,5,0.021954646,,,,,
P66,P61,10,0.017181982,,,,,
P66,P61,15,0.018786942,,,,,
P66,P61,20,0.021283042,,,,,
P66,P61,25,0.021468587,,,,,
P66,P61,30,0.022348766,,,,,
P66,P61,40,0.028573615,,,,,
P66,P61,50,0.033015416,,,,,
P66,P61,60,0.035135903,,,,,
P66,P61,80,0.044576665,,,,,
P66,P61,100,0.049619777,,,,,
P66,P61,110,0.054943222,,,,,
P66,P66,5,0,,,,,
P66,P66,10,0,,,,,
P66,P66,15,0,,,,,
P66,P66,20,0,,,,,
P66,P66,25,0,,,,,
P66,P66,30,0,,,,,
P66,P66,40,0,,,,,
P66,P66,50,0,,,,,
P66,P66,60,0,,,,,
P66,P66,80,0,,,,,
P66,P66,100,0,,,,,
P66,P66,110,0,,,,,
P66,P76,5,0.021732023,,,,,
P66,P76,10,0.021596674,,,,,
P66,P76,15,0.024377811,,,,,
P66,P76,20,0.023088818,,,,,
P66,P76,25,0.024940658,,,,,
P66,P76,30,0.027941156,,,,,
P66,P76,40,0.030258239,,,,,
P66,P76,50,0.031210564,,,,,
P66,P76,60,0.035891916,,,,,
P66,P76,80,0.05482086,,,,,
P66,P76,100,0.057181526,,,,,
P66,P76,110,0.0613097,,,,,
P66,P95,5,0.02341829,,,,,
P66,P95,10,0.019959158,,,,,
P66,P95,15,0.019284293,,,,,
P66,P95,20,0.025671231,,,,,
P66,P95,25,0.026808219,,,,,
P66,P95,30,0.027011668,,,,,
P66,P95,40,0.028790585,,,,,
P66,P95,50,0.032305204,,,,,
P66,P95,60,0.036963324,,,,,
P66,P95,80,0.05117802,,,,,
P66,P95,100,0.059731496,,,,,
P66,P95,110,0.063542555,,,,,
P66,P27,5,0.021837621,,,,,
P66,P27,10,0.026734826,,,,,
P66,P27,15,0.028946996,,,,,
P66,P27,20,0.03154196,,,,,
P66,P27,25,0.032812725,,,,,
P66,P27,30,0.034321325,,,,,
P66,P27,40,0.040359999,,,,,
P66,P27,50,0.045355352,,,,,
P66,P27,60,0.049205996,,,,,
P66,P27,80,0.061912443,,,,,
P66,P27,100,0.068351249,,,,,
P66,P27,110,0.07698452,,,,,
P66,P32,5,0.024844953,,,,,
P66,P32,10,0.023033464,,,,,
P66,P32,15,0.02109535,,,,,
P66,P32,20,0.026256581,,,,,
P66,P32,25,0.029895168,,,,,
P66,P32,30,0.031233327,,,,,
P66,P32,40,0.035086585,,,,,
P66,P32,50,0.040930369,,,,,
P66,P32,60,0.047142893,,,,,
P66,P32,80,0.056029715,,,,,
P66,P32,100,0.062421306,,,,,
P66,P32,110,0.070818062,,,,,
P66,P39,5,0.018386805,,,,,
P66,P39,10,0.020031971,,,,,
P66,P39,15,0.022928314,,,,,
P66,P39,20,0.022055888,,,,,
P66,P39,25,0.022980968,,,,,
P66,P39,30,0.026011844,,,,,
P66,P39,40,0.027078598,,,,,
P66,P39,50,0.033824878,,,,,
P66,P39,60,0.037691516,,,,,
P66,P39,80,0.049655354,,,,,
P66,P39,100,0.054708144,,,,,
P66,P39,110,0.05947443,,,,,
P66,P58,5,0.013773369,,,,,
P66,P58,10,0.015020525,,,,,
P66,P58,15,0.017167313,,,,,
P66,P58,20,0.020256454,,,,,
P66,P58,25,0.022261363,,,,,
P66,P58,30,0.022992844,,,,,
P66,P58,40,0.030124383,,,,,
P66,P58,50,0.031654346,,,,,
P66,P58,60,0.035766844,,,,,
P66,P58,80,0.048039059,,,,,
P66,P58,100,0.054173326,,,,,
P66,P58,110,0.061641889,,,,,
P66,P59,5,0.027592575,,,,,
P66,P59,10,0.022362819,,,,,
P66,P59,15,0.024146125,,,,,
P66,P59,20,0.025448599,,,,,
P66,P59,25,0.029415269,,,,,
P66,P59,30,0.028907161,,,,,
P66,P59,40,0.036297175,,,,,
P66,P59,50,0.039690687,,,,,
P66,P59,60,0.046498443,,,,,
P66,P59,80,0.060970357,,,,,
P66,P59,100,0.067108593,,,,,
P66,P59,110,0.076175256,,,,,
P66,P62,5,0.020009507,,,,,
P66,P62,10,0.026100533,,,,,
P66,P62,15,0.031396902,,,,,
P66,P62,20,0.032696509,,,,,
P66,P62,25,0.033348072,,,,,
P66,P62,30,0.036384392,,,,,
P66,P62,40,0.042467782,,,,,
P66,P62,50,0.046188448,,,,,
P66,P62,60,0.048121695,,,,,
P66,P62,80,0.060039703,,,,,
P66,P62,100,0.066216889,,,,,
P66,P62,110,0.069184166,,,,,
P66,P67,5,0.021454682,,,,,
P66,P67,10,0.020937329,,,,,
P66,P67,15,0.026070133,,,,,
P66,P67,20,0.024620832,,,,,
P66,P67,25,0.024445319,,,,,
P66,P67,30,0.025392288,,,,,
P66,P67,40,0.029418398,,,,,
P66,P67,50,0.035519928,,,,,
P66,P67,60,0.042262443,,,,,
P66,P67,80,0.051575435,,,,,
P66,P67,100,0.061522965,,,,,
P66,P67,110,0.066783356,,,,,
P66,P68,5,0.025123058,,,,,
P66,P68,10,0.019854851,,,,,
P66,P68,15,0.017024593,,,,,
P66,P68,20,0.018957924,,,,,
P66,P68,25,0.021939795,,,,,
P66,P68,30,0.023624749,,,,,
P66,P68,40,0.033843427,,,,,
P66,P68,50,0.037198669,,,,,
P66,P68,60,0.042468116,,,,,
P66,P68,80,0.059722783,,,,,
P66,P68,100,0.06766644,,,,,
P66,P68,110,0.073239932,,,,,
P66,P71,5,0.019489155,,,,,
P66,P71,10,0.016601075,,,,,
P66,P71,15,0.018768155,,,,,
P66,P71,20,0.023791224,,,,,
P66,P71,25,0.025277742,,,,,
P66,P71,30,0.026517176,,,,,
P66,P71,40,0.031149519,,,,,
P66,P71,50,0.032097778,,,,,
P66,P71,60,0.035585081,,,,,
P66,P71,80,0.044333295,,,,,
P66,P71,100,0.055099908,,,,,
P66,P71,110,0.063828766,,,,,
P66,P82,5,0.021359185,,,,,
P66,P82,10,0.022460984,,,,,
P66,P82,15,0.02732561,,,,,
P66,P82,20,0.028462926,,,,,
P66,P82,25,0.032352101,,,,,
P66,P82,30,0.035762591,,,,,
P66,P82,40,0.040864192,,,,,
P66,P82,50,0.04368303,,,,,
P66,P82,60,0.048558996,,,,,
P66,P82,80,0.065677166,,,,,
P66,P82,100,0.072928567,,,,,
P66,P82,110,0.079231191,,,,,
P66,P88,5,0.019947633,,,,,
P66,P88,10,0.018441214,,,,,
P66,P88,15,0.019771633,,,,,
P66,P88,20,0.02093401,,,,,
P66,P88,25,0.022514364,,,,,
P66,P88,30,0.025793746,,,,,
P66,P88,40,0.029435903,,,,,
P66,P88,50,0.033144081,,,,,
P66,P88,60,0.036986073,,,,,
P66,P88,80,0.047857607,,,,,
P66,P88,100,0.056011413,,,,,
P66,P88,110,0.065382712,,,,,
P66,P92,5,0.014461949,,,,,
P66,P92,10,0.017369132,,,,,
P66,P92,15,0.020806837,,,,,
P66,P92,20,0.025044822,,,,,
P66,P92,25,0.027496731,,,,,
P66,P92,30,0.02813553,,,,,
P66,P92,40,0.0328018,,,,,
P66,P92,50,0.035962969,,,,,
P66,P92,60,0.038769054,,,,,
P66,P92,80,0.048684296,,,,,
P66,P92,100,0.057010713,,,,,
P66,P92,110,0.06332023,,,,,
P76,P1,5,0.040650721,,,,,
P76,P1,10,0.055731822,,,,,
P76,P1,15,0.063736089,,,,,
P76,P1,20,0.067287171,,,,,
P76,P1,25,0.073152315,,,,,
P76,P1,30,0.080493227,,,,,
P76,P1,40,0.084639525,,,,,
P76,P1,50,0.088377197,,,,,
P76,P1,60,0.09202267,,,,,
P76,P1,80,0.091893972,,,,,
P76,P1,100,0.093312379,,,,,
P76,P1,110,0.1091083,,,,,
P76,P19,5,0.021349832,,,,,
P76,P19,10,0.021207109,,,,,
P76,P19,15,0.022701276,,,,,
P76,P19,20,0.023514954,,,,,
P76,P19,25,0.023846583,,,,,
P76,P19,30,0.023768857,,,,,
P76,P19,40,0.025996023,,,,,
P76,P19,50,0.030308244,,,,,
P76,P19,60,0.034868698,,,,,
P76,P19,80,0.037337403,,,,,
P76,P19,100,0.042005403,,,,,
P76,P19,110,0.044852151,,,,,
P76,P24,5,0.016303023,,,,,
P76,P24,10,0.014268993,,,,,
P76,P24,15,0.015157223,,,,,
P76,P24,20,0.015668569,,,,,
P76,P24,25,0.017456793,,,,,
P76,P24,30,0.019929101,,,,,
P76,P24,40,0.022195044,,,,,
P76,P24,50,0.02681721,,,,,
P76,P24,60,0.028647758,,,,,
P76,P24,80,0.038491588,,,,,
P76,P24,100,0.045938222,,,,,
P76,P24,110,0.052131533,,,,,
P76,P26,5,0.012774008,,,,,
P76,P26,10,0.01158128,,,,,
P76,P26,15,0.012848107,,,,,
P76,P26,20,0.013797146,,,,,
P76,P26,25,0.014640184,,,,,
P76,P26,30,0.015451313,,,,,
P76,P26,40,0.021065475,,,,,
P76,P26,50,0.025458741,,,,,
P76,P26,60,0.032423438,,,,,
P76,P26,80,0.038139099,,,,,
P76,P26,100,0.045508796,,,,,
P76,P26,110,0.04995188,,,,,
P76,P51,5,0.021026866,,,,,
P76,P51,10,0.027495247,,,,,
P76,P51,15,0.034392423,,,,,
P76,P51,20,0.036002076,,,,,
P76,P51,25,0.036767984,,,,,
P76,P51,30,0.038450229,,,,,
P76,P51,40,0.039582204,,,,,
P76,P51,50,0.042360631,,,,,
P76,P51,60,0.048796234,,,,,
P76,P51,80,0.054636371,,,,,
P76,P51,100,0.065436092,,,,,
P76,P51,110,0.074382522,,,,,
P76,P56,5,0.010983043,,,,,
P76,P56,10,0.011646851,,,,,
P76,P56,15,0.012105031,,,,,
P76,P56,20,0.013486581,,,,,
P76,P56,25,0.013766548,,,,,
P76,P56,30,0.013965151,,,,,
P76,P56,40,0.016029445,,,,,
P76,P56,50,0.019495578,,,,,
P76,P56,60,0.028183346,,,,,
P76,P56,80,0.038840718,,,,,
P76,P56,100,0.047165497,,,,,
P76,P56,110,0.05442286,,,,,
P76,P61,5,0.015754123,,,,,
P76,P61,10,0.019859183,,,,,
P76,P61,15,0.026540074,,,,,
P76,P61,20,0.026780326,,,,,
P76,P61,25,0.02881671,,,,,
P76,P61,30,0.030522508,,,,,
P76,P61,40,0.034674235,,,,,
P76,P61,50,0.038856612,,,,,
P76,P61,60,0.04527955,,,,,
P76,P61,80,0.05205129,,,,,
P76,P61,100,0.052541648,,,,,
P76,P61,110,0.054619599,,,,,
P76,P66,5,0.021732023,,,,,
P76,P66,10,0.021596674,,,,,
P76,P66,15,0.024377811,,,,,
P76,P66,20,0.023088818,,,,,
P76,P66,25,0.024940658,,,,,
P76,P66,30,0.027941156,,,,,
P76,P66,40,0.030258239,,,,,
P76,P66,50,0.031210564,,,,,
P76,P66,60,0.035891916,,,,,
P76,P66,80,0.05482086,,,,,
P76,P66,100,0.057181526,,,,,
P76,P66,110,0.0613097,,,,,
P76,P76,5,0,,,,,
P76,P76,10,0,,,,,
P76,P76,15,0,,,,,
